Trial Number,Embed Dim,Num Heads,FF Dim,Dropout Rate,Learning Rate,Best Accuracy,Elapsed Time
0,256,1,512,0.12702507169708896,0.00026965694840504727,0.8608521015636207,12074.481071710587
1,128,128,256,0.13225523678088974,1.7628929838370557e-05,0.8750537942906326,15662.020581007004
2,128,32,256,0.2054011471215884,0.0001902271368996784,0.8638645818390475,12327.344409704208
3,512,2,1024,0.21257709513888054,1.0337524835600897e-05,0.8840912351169129,16619.268362283707
4,256,128,256,0.285242529828257,5.363172298022606e-05,0.8727585712236408,12284.759315490723
5,256,32,1024,0.1931920238149653,6.782691270284962e-05,0.8714675082484579,10913.846675157547
6,256,8,1024,0.10777258784720148,3.848753332828974e-05,0.8734758284320757,11237.160186767578
7,128,32,768,0.24567665113235018,0.00014080742671968024,0.8693157366231531,12333.339254140854
8,256,128,768,0.1999690871342159,0.0008715901093359173,0.7628747668914072,19001.526792049408
9,128,128,256,0.2358468051636956,1.2640639306706507e-05,0.8744799885238846,17781.02434849739
0,512,2,256,0.19494092128760604,2.582251421007207e-05,0.8724716683402668,15397.918043375015
1,256,16,768,0.23365800764545805,6.925184523090167e-05,0.8711806053650839,11221.908672571182
2,512,128,768,0.2690477400623736,1.2372706902146326e-05,0.8804633481566489,16591.967386960983
3,128,8,768,0.1694140071978733,7.107981491972862e-05,0.8693157366231531,11140.385794639587
4,256,16,1024,0.2521813588951744,0.00043194105542071845,0.8566920097546981,13779.447661161423
5,256,32,512,0.25953952926867097,0.00035733270712688724,0.8602782957968728,13762.027369260788
6,256,32,1024,0.1778132915197977,0.0002904900869574478,0.8588437813800028,11343.638422966003
7,256,8,256,0.15225069687741621,5.2152599526209606e-05,0.8718978625735189,10803.318597078323
8,128,4,512,0.19819633829220695,1.5043675484311452e-05,0.8736192798737628,14763.786978006363
9,512,2,768,0.21979922199927865,5.167167724459118e-05,0.8811806053650839,12812.056654930115
0,128,16,1024,0.11006650258844075,0.00011282803826366295,0.8675943193229092,11344.73564004898
1,256,16,512,0.27705880448659714,2.3979293426141652e-05,0.8736192798737628,14358.995221853256
2,512,8,768,0.24186176895132996,0.00015187294005870528,0.8645818390474824,14196.33387184143
3,512,16,1024,0.19153644974928705,2.3838526139495637e-05,0.8713240568067709,13383.049420118332
4,256,32,512,0.1674451030306302,1.0608455016686223e-05,0.8724716683402668,15062.597956180573
5,128,32,768,0.16038493936557932,3.150673980286738e-05,0.869746090948214,13092.8816344738
6,512,2,768,0.2488890921146503,3.5973828457303345e-05,0.8727585712236408,14435.582010746002
7,128,32,512,0.1017117505077744,0.0003390970277300476,0.867696169846507,10836.814296245575
8,128,16,768,0.22289186670411332,0.00022456522515127274,0.880319896714962,11822.863669872284
9,128,64,512,0.25185696924177636,3.5882901975680173e-05,0.8820413140152059,14356.72675704956
