node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABL1	GNA11	9606.ENSP00000361423	9606.ENSP00000078429	0	0	0	0	0.119	0	0	0.484	0.526
ABL1	MAPK1	9606.ENSP00000361423	9606.ENSP00000215832	0	0	0	0.588	0.064	0.11	0	0.695	0.724
ABL1	AURKA	9606.ENSP00000361423	9606.ENSP00000216911	0	0	0	0.626	0	0.067	0	0.47	0.484
ABL1	CCND1	9606.ENSP00000361423	9606.ENSP00000227507	0	0	0	0	0.067	0	0.4	0.577	0.742
ABL1	CDKN1B	9606.ENSP00000361423	9606.ENSP00000228872	0	0	0	0	0.086	0.296	0.4	0.42	0.746
ABL1	MLH1	9606.ENSP00000361423	9606.ENSP00000231790	0	0	0	0	0.042	0	0	0.48	0.481
ABL1	FLT3	9606.ENSP00000361423	9606.ENSP00000241453	0	0	0	0.6	0.095	0.215	0	0.346	0.495
ABL1	SMO	9606.ENSP00000361423	9606.ENSP00000249373	0	0	0	0	0.072	0.071	0	0.625	0.648
ABL1	RARA	9606.ENSP00000361423	9606.ENSP00000254066	0	0	0	0	0.063	0.097	0	0.695	0.719
ABL1	KRAS	9606.ENSP00000361423	9606.ENSP00000256078	0	0	0	0	0.074	0.11	0	0.669	0.703
ABL1	CDK4	9606.ENSP00000361423	9606.ENSP00000257904	0	0	0	0.607	0.097	0.098	0.4	0.511	0.729
ABL1	MDM2	9606.ENSP00000361423	9606.ENSP00000258149	0	0	0	0	0	0.628	0	0.732	0.896
ABL1	BARD1	9606.ENSP00000361423	9606.ENSP00000260947	0	0	0	0	0	0.095	0.5	0.175	0.594
ABL1	CCND2	9606.ENSP00000361423	9606.ENSP00000261254	0	0	0	0	0	0.292	0.4	0.373	0.71
ABL1	CDH1	9606.ENSP00000361423	9606.ENSP00000261769	0	0	0	0	0	0.067	0	0.418	0.433
ABL1	PDGFRB	9606.ENSP00000361423	9606.ENSP00000261799	0	0	0	0.581	0.093	0.316	0	0.376	0.58
ABL1	PIK3C3	9606.ENSP00000361423	9606.ENSP00000262039	0	0	0	0	0	0.053	0	0.947	0.947
ABL1	SMAD2	9606.ENSP00000361423	9606.ENSP00000262160	0	0	0	0	0.091	0.091	0	0.392	0.454
ABL1	AXIN1	9606.ENSP00000361423	9606.ENSP00000262320	0	0	0	0	0.098	0.127	0	0.308	0.407
ABL1	CREBBP	9606.ENSP00000361423	9606.ENSP00000262367	0	0	0	0	0.304	0.047	0	0.415	0.578
ABL1	EP300	9606.ENSP00000361423	9606.ENSP00000263253	0	0	0	0	0.304	0.23	0	0.438	0.673
